keyword	search_volume	cpc	competition	rank	url	title
st andrew jc	22200	0.66	LOW	13	https://www.kiasuparents.com/kiasu/article/the-best-j-cs-in-singapore	The Best JCs in Singapore
seng kang green primary	18100	0.29	LOW	9	https://www.kiasuparents.com/kiasu/primary-schools/sengkang-green-primary-school	Sengkang Green Primary School - Singapore
chij st nicholas secondary	14800	0.45	LOW	12	https://www.kiasuparents.com/kiasu/primary-schools/chij-st-nicholas-girls-school	CHIJ St. Nicholas Girls' School - Singapore
nanyang primary	14800	2.13	LOW	16	https://www.kiasuparents.com/kiasu/primary-schools/nanyang-primary-school	Nanyang Primary School - Singapore
ai tong primary	9900	0.18	LOW	7	https://www.kiasuparents.com/kiasu/primary-schools/ai-tong-school	Ai Tong School - Singapore
primary school	9900	11.14	LOW	13	https://www.kiasuparents.com/kiasu/primary-schools	Primary Schools - Singapore
bendemeer primary	8100	1.05	LOW	10	https://www.kiasuparents.com/kiasu/primary-schools/bendemeer-primary-school	Bendemeer Primary School - Singapore
chongfu primary	8100	1.17	LOW	3	https://www.kiasuparents.com/kiasu/primary-schools/chongfu-school	Chongfu School - Singapore
fairfield methodist primary	8100	4.11	LOW	7	https://www.kiasuparents.com/kiasu/primary-schools/fairfield-methodist-school-primary	Fairfield Methodist School (Primary) - Singapore
jcs in singapore	8100	0.25	LOW	11	https://www.kiasuparents.com/kiasu/article/the-best-j-cs-in-singapore	The Best JCs in Singapore
poi ching	8100	0.69	LOW	5	https://www.kiasuparents.com/kiasu/article/poi-ching-primary-school-review	Poi Ching Primary School Review
sota	8100	2.17	LOW	13	https://www.kiasuparents.com/kiasu/article/getting-into-sota-school-of-the-arts-a-parents-experience	Getting into SOTA -School Of The Arts
al score	6600	1.14	LOW	5	https://www.kiasuparents.com/kiasu/article/psle-al-score-explained-how-the-psle-al-scoring-system-works-with-examples	How the PSLE Scoring System Works (With Examples)
angsana primary	6600	0.67	LOW	11	https://www.kiasuparents.com/kiasu/primary-schools/angsana-primary-school	Angsana Primary School - Singapore
bukit timah primary	6600	0.72	LOW	6	https://www.kiasuparents.com/kiasu/primary-schools/bukit-timah-primary-school	Bukit Timah Primary School
gongshang primary	6600	1.55	LOW	11	https://www.kiasuparents.com/kiasu/primary-schools/gongshang-primary-school	Gongshang Primary School - Singapore
march holidays 2025	6600		LOW	9	https://www.kiasuparents.com/kiasu/article/march-school-holidays-2025-top-activities-for-families-in-singapore	March School Holidays 2025: Top Activities for Families in ...
nan chiau primary	6600	0.96	LOW	7	https://www.kiasuparents.com/kiasu/primary-schools/nan-chiau-primary-school	Nan Chiau Primary School - Singapore
ngee ann primary	6600	0.72	LOW	7	https://www.kiasuparents.com/kiasu/primary-schools/ngee-ann-primary-school	Ngee Ann Primary School
psle al score	6600	0.52	LOW	9	https://www.kiasuparents.com/kiasu/article/psle-al-score-explained-how-the-psle-al-scoring-system-works-with-examples	How the PSLE Scoring System Works (With Examples)
qifa primary	6600	1	LOW	8	https://www.kiasuparents.com/kiasu/primary-schools/qifa-primary-school	Qifa Primary School - Singapore
admiralty primary	5400		LOW	13	https://www.kiasuparents.com/kiasu/primary-schools/admiralty-primary-school	Admiralty Primary School - Singapore
alexandra primary	5400	0.36	LOW	4	https://www.kiasuparents.com/kiasu/primary-schools/alexandra-primary-school	Alexandra Primary School - Singapore
chij kellock	5400	0.61	LOW	15	https://www.kiasuparents.com/kiasu/primary-schools/chij-kellock	CHIJ (Kellock)
chij kellock primary	5400	0.61	LOW	8	https://www.kiasuparents.com/kiasu/primary-schools/chij-kellock	CHIJ (Kellock)
evergreen primary	5400		LOW	11	https://www.kiasuparents.com/kiasu/primary-schools/evergreen-primary-school	Evergreen Primary School
farrer park primary	5400	1.31	LOW	9	https://www.kiasuparents.com/kiasu/primary-schools/farrer-park-primary-school	Farrer Park Primary School
fengshan primary	5400	1.47	LOW	5	https://www.kiasuparents.com/kiasu/primary-schools/fengshan-primary-school	Fengshan Primary School - Singapore
gan eng seng primary	5400	5.09	LOW	4	https://www.kiasuparents.com/kiasu/primary-schools/gan-eng-seng-primary-school	Gan Eng Seng Primary School
