keyword	search_volume	cpc	competition	rank	url	title
math tuition sg	40500	6.85	LOW	3	https://smiletutor.sg/maths-tuition/	Looking for Maths Tuition in Singapore? - SmileTutor
math tuition singapore	40500	6.85	LOW	4	https://smiletutor.sg/maths-tuition/	Looking for Maths Tuition in Singapore? - SmileTutor
maths tuition sg	40500	6.85	LOW	4	https://smiletutor.sg/maths-tuition/	Looking for Maths Tuition in Singapore? - SmileTutor
singapore maths tuition	40500	6.85	LOW	2	https://smiletutor.sg/maths-tuition/	Looking for Maths Tuition in Singapore? - SmileTutor
tuition maths singapore	40500	6.85	LOW	5	https://smiletutor.sg/maths-tuition/	Maths Tuition Singapore | Primary, Secondary, JC ...
math tuitions	22200	9.51	LOW	6	https://smiletutor.sg/maths-tuition/	Maths Tuition Singapore | Primary, Secondary, JC ...
mathematics tuition	22200	9.51	LOW	1	https://smiletutor.sg/maths-tuition/	Maths Tuition Singapore | Primary, Secondary, JC ...
tuition for math	22200	9.51	LOW	1	https://smiletutor.sg/maths-tuition/	Maths Tuition Singapore | Primary, Secondary, JC ...
tuition for mathematics	22200	9.51	LOW	2	https://smiletutor.sg/maths-tuition/	Maths Tuition Singapore | Primary, Secondary, JC ...
tuition for maths	22200	9.51	LOW	1	https://smiletutor.sg/maths-tuition/	Maths Tuition Singapore | Primary, Secondary, JC ...
tuition in mathematics	22200	9.51	LOW	1	https://smiletutor.sg/maths-tuition/	Maths Tuition Singapore | Primary, Secondary, JC ...
tuition math	22200	9.51	LOW	2	https://smiletutor.sg/maths-tuition/	Maths Tuition Singapore | Primary, Secondary, JC ...
tuition mathematics	22200	9.51	LOW	3	https://smiletutor.sg/maths-tuition/	Maths Tuition Singapore | Primary, Secondary, JC ...
tuition	18100	6.85	LOW	1	https://smiletutor.sg/	SmileTutor: #1 Trusted Home Tuition Agency in Singapore
free exam test papers	9900	4.33	LOW	5	https://smiletutor.sg/free-test-papers-download/primary-school-exam-papers/	Download Primary School Exam Papers Free
free test paper	9900	4.33	LOW	5	https://smiletutor.sg/free-test-papers-download/secondary-school-exam-papers/	Free Secondary Exam Papers and School Test ...
free test papers	9900	4.33	LOW	6	https://smiletutor.sg/free-test-papers-download/secondary-school-exam-papers/	Free Secondary Exam Papers and School Test ...
psle	6600	2.82	LOW	4	https://smiletutor.sg/psle/	All About Primary School Leaving Examinations (PSLE)
psle al score	6600	0.52	LOW	4	https://smiletutor.sg/psle/new-scoring-system/	PSLE New Scoring System & Achievement Levels (AL)
sg tuition	6600	7.96	LOW	2	https://smiletutor.sg/	SmileTutor: #1 Trusted Home Tuition Agency in Singapore
singapore tuition	6600	7.96	LOW	1	https://smiletutor.sg/	SmileTutor: #1 Trusted Home Tuition Agency in Singapore
tuition sg	6600	7.96	LOW	1	https://smiletutor.sg/	SmileTutor: #1 Trusted Home Tuition Agency in Singapore
tuition singapore	6600	7.96	LOW	1	https://smiletutor.sg/	SmileTutor: #1 Trusted Home Tuition Agency in Singapore
tuitions in singapore	6600	7.96	LOW	1	https://smiletutor.sg/	SmileTutor: #1 Trusted Home Tuition Agency in Singapore
